wl,n
0.2000,1.4365683618225
0.2072,1.4323491847163
0.2147,1.4285076737772
0.2225,1.4250091623322
0.2306,1.421821816895
0.2389,1.4189489987686
0.2476,1.4162954303493
0.2565,1.4138991422766
0.2658,1.4116847188909
0.2754,1.4096609264178
0.2854,1.407792186175
0.2957,1.4060837805639
0.3064,1.4045064180542
0.3175,1.4030508253012
0.3290,1.4017080367113
0.3409,1.4004694766888
0.3532,1.3993270125129
0.3660,1.3982651410253
0.3793,1.3972791680293
0.3930,1.3963705924704
0.4072,1.3955270805632
0.4220,1.3947391490921
0.4372,1.3940130680671
0.4531,1.3933309160118
0.4695,1.3926984742538
0.4865,1.3921083928924
0.5041,1.3915578367426
0.5223,1.3910440054677
0.5412,1.3905617402294
0.5608,1.3901090855872
0.5811,1.3896840441597
0.6021,1.3892846141659
0.6239,1.3889071650812
0.6465,1.3885501939419
0.6699,1.3882121625293
0.6942,1.3878902549374
0.7193,1.3875844078715
0.7453,1.3872920012591
0.7723,1.3870107720679
0.8002,1.3867405987683
0.8292,1.3864784554652
0.8592,1.3862242290515
0.8903,1.3859760214917
0.9225,1.385732835897
0.9559,1.3854929546822
0.9905,1.3852554420131
1.026,1.3850212788156
1.064,1.3847792695885
1.102,1.3845443727534
1.142,1.3843030814412
1.183,1.3840605451551
1.226,1.3838098994703
1.270,1.3835560089604
1.316,1.3832920926928
1.364,1.3830171405395
1.413,1.3827358132747
1.465,1.3824354770166
1.518,1.3821264910598
1.572,1.38180780586
1.629,1.3814663380258
1.688,1.3811066013527
1.749,1.3807271982956
1.813,1.3803202527938
1.878,1.3798969800832
1.946,1.3794427941165
2.017,1.3789555523285
2.090,1.3784401473161
2.165,1.3778948388013
2.244,1.3773026200811
2.325,1.3766759093144
2.409,1.376004636983
2.496,1.375285985298
2.587,1.3745083126953
2.680,1.3736856119868
2.777,1.3727969355027
2.878,1.3718378950641
2.982,1.370813877063
3.090,1.3697107083997
3.202,1.3685232689664
3.318,1.3672461525669
3.438,1.3658736519108
3.562,1.3643997415401
3.691,1.3628054583256
3.825,1.3610825552967
3.963,1.3592358994321
4.107,1.357229393055
4.255,1.355080984337
4.409,1.352751020249
4.569,1.3502262303477
4.734,1.3475091598939
4.906,1.3445515362219
5.083,1.3413712582434
5.267,1.3379145242959
5.458,1.3341594176553
5.655,1.3301031329507
5.860,1.3256784790354
6.072,1.3208770427562
6.292,1.3156431482726
6.520,1.3099385614219
6.755,1.3037479423816
7.000,1.2969430583497
