wl,n
0.2000,1.4230886167859
0.2072,1.418989119738
0.2147,1.4152626506189
0.2225,1.4118736932799
0.2306,1.4087899348008
0.2389,1.406013423153
0.2476,1.403451178233
0.2565,1.4011392298917
0.2658,1.3990042606259
0.2754,1.3970543081151
0.2854,1.3952547546048
0.2957,1.3936104172929
0.3064,1.3920928837393
0.3175,1.3906930636314
0.3290,1.3894021962629
0.3409,1.3882119238027
0.3532,1.387114337156
0.3660,1.386094468574
0.3793,1.385147751321
0.3930,1.3842755731536
0.4072,1.3834660511646
0.4220,1.3827100519167
0.4372,1.3820135622524
0.4531,1.381359367534
0.4695,1.3807529936357
0.4865,1.380187376075
0.5041,1.379659783282
0.5223,1.3791675195011
0.5412,1.3787056326739
0.5608,1.3782722423115
0.5811,1.3778654290185
0.6021,1.3774832703664
0.6239,1.3771222877017
0.6465,1.3767810397294
0.6699,1.3764580520954
0.6942,1.3761506312517
0.7193,1.3758587136554
0.7453,1.3755797952111
0.7723,1.3753117156635
0.8002,1.3750543571762
0.8292,1.3748048358874
0.8592,1.37456304318
0.8903,1.3743271722957
0.9225,1.3740962747754
0.9559,1.3738687190303
0.9905,1.373643616818
1.026,1.3734218941111
1.064,1.3731929568741
1.102,1.3729709541023
1.142,1.3727431138139
1.183,1.3725142998158
1.226,1.3722780363801
1.270,1.3720389088426
1.316,1.3717905296533
1.364,1.3715319527736
1.413,1.3712675594927
1.465,1.3709854791133
1.518,1.3706954434578
1.572,1.3703964599229
1.629,1.3700762551684
1.688,1.3697390665892
1.749,1.3693835845321
1.813,1.3690024327231
1.878,1.3686061153941
1.946,1.3681809750469
2.017,1.3677250109119
2.090,1.3672428035241
2.165,1.3667327244941
2.244,1.3661788698212
2.325,1.3655928572151
2.409,1.3649652733482
2.496,1.3642934880954
2.587,1.3635666252254
2.680,1.3627977683561
2.777,1.3619673463993
2.878,1.361071267973
2.982,1.3601145744763
3.090,1.3590840343388
3.202,1.3579748769266
3.318,1.3567820664349
3.438,1.3555002882046
3.562,1.3541239331455
3.691,1.3526353155967
3.825,1.3510267625097
3.963,1.349302847313
4.107,1.3474299077205
4.255,1.3454247385845
4.409,1.3432503787694
4.569,1.3408945051924
4.734,1.3383595609042
4.906,1.3356005919792
5.083,1.3326343916511
5.267,1.329410893396
5.458,1.3259098020647
5.655,1.3221286649864
5.860,1.3180050482208
6.072,1.3135313544617
6.292,1.3086559995158
6.520,1.3033437265678
6.755,1.2975806699443
7.000,1.2912479870418
