wl,n
0.1980,1.6639721814608
0.2166,1.6394187222981
0.2351,1.6220687802952
0.2537,1.609143896719
0.2722,1.5993080774181
0.2908,1.5915448225504
0.3093,1.5853549993995
0.3279,1.5802775094443
0.3464,1.5760951267607
0.3650,1.5725670618566
0.3835,1.569589218815
0.4021,1.5670225951102
0.4206,1.5648141960568
0.4392,1.5628774802163
0.4577,1.5611845713499
0.4763,1.5596782921227
0.4948,1.5583439082212
0.5134,1.5571417744216
0.5319,1.5560643619216
0.5505,1.5550830504396
0.5690,1.5541944030925
0.5876,1.5533770334797
0.6061,1.5526298891338
0.6247,1.5519365006956
0.6432,1.5512972300694
0.6618,1.5506990507426
0.6803,1.5501431724357
0.6989,1.5496190405007
0.7174,1.5491283745386
0.7360,1.5486624328139
0.7545,1.5482232402242
0.7731,1.5478034089019
0.7916,1.5474051441275
0.8102,1.5470220846537
0.8287,1.5466565397719
0.8473,1.5463029367292
0.8658,1.5459636424945
0.8844,1.5456336963241
0.9029,1.5453154953384
0.9215,1.5450045578216
0.9400,1.5447032953876
0.9586,1.5444076036358
0.9771,1.5441199005289
0.9957,1.5438363801171
1.014,1.5435624319967
1.033,1.5432826584689
1.051,1.5430214794595
1.070,1.5427493831553
1.088,1.5424945920313
1.107,1.542228382506
1.126,1.5419645937362
1.144,1.5417165904623
1.163,1.5414564947856
1.181,1.5412114084698
1.200,1.5409538245388
1.218,1.5407106198638
1.237,1.5404545350986
1.255,1.5402123219378
1.274,1.5399568631456
1.293,1.5397014249672
1.311,1.5394592813846
1.330,1.5392033614181
1.348,1.5389604593126
1.367,1.5387034401675
1.385,1.5384592313115
1.404,1.5382005698071
1.422,1.5379545705407
1.441,1.5376937861584
1.459,1.5374455674509
1.478,1.5371822327905
1.497,1.5369174374267
1.515,1.536665144855
1.534,1.5363972360915
1.552,1.5361418356062
1.571,1.5358704873881
1.589,1.5356116851048
1.608,1.5353366018889
1.626,1.5350741307092
1.645,1.5347950431688
1.664,1.5345138021703
1.682,1.5342453204164
1.701,1.5339597093716
1.719,1.533686982146
1.738,1.5333967827123
1.756,1.5331196108258
1.775,1.5328246202627
1.793,1.5325428182701
1.812,1.5322428473289
1.830,1.531956241672
1.849,1.5316511127737
1.868,1.5313432695288
1.886,1.5310490858315
1.905,1.5307358346006
1.923,1.5304364533404
1.942,1.5301176393532
1.960,1.5298129173287
1.979,1.5294883927774
1.997,1.5291781929031
2.016,1.5288478159603
2.035,1.5285143803174
2.053,1.528195640347
